exp_id,test_acc_mean,test_acc_std,test_balanced_acc_mean,test_balanced_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_weighted_mean,test_f1_weighted_std,test_recall_0_mean,test_recall_0_std,test_recall_1_mean,test_recall_1_std,test_recall_2_mean,test_recall_2_std
E10_lr_bin_0p0005_head_0p002_ft_5e-05,0.6923076923076923,,0.6969696969696969,,0.652958705832269,,0.6486452500245604,,1.0,,0.8636363636363636,,0.22727272727272727,
E10_lr_bin_0p001_head_0p0001_ft_0p0001,0.6,,0.6060606060606061,,0.5907114624505928,,0.585752508361204,,1.0,,0.4090909090909091,,0.4090909090909091,
E10_lr_bin_0p001_head_0p0001_ft_0p0003,0.7846153846153846,,0.787878787878788,,0.7757437070938215,,0.7736314029220207,,1.0,,0.5454545454545454,,0.8181818181818182,
E10_lr_bin_0p001_head_0p0001_ft_0p0005,0.8153846153846154,,0.8181818181818182,,0.8077803203661328,,0.8061608871677521,,1.0,,0.5909090909090909,,0.8636363636363636,
E10_lr_bin_0p001_head_0p0001_ft_5e-05,0.8153846153846154,,0.8181818181818182,,0.8104084321475625,,0.808829431438127,,1.0,,0.6363636363636364,,0.8181818181818182,
E10_lr_bin_0p001_head_0p0003_ft_0p0001,0.8,,0.8030303030303031,,0.7955559939825889,,0.7937484942244615,,1.0,,0.6363636363636364,,0.7727272727272727,
E10_lr_bin_0p001_head_0p0003_ft_0p0003,0.8307692307692308,,0.8333333333333334,,0.8251455468846772,,0.8237932710173512,,1.0,,0.6363636363636364,,0.8636363636363636,
E10_lr_bin_0p001_head_0p0003_ft_0p0005,0.8307692307692308,,0.8333333333333334,,0.8251455468846772,,0.8237932710173512,,1.0,,0.6363636363636364,,0.8636363636363636,
E10_lr_bin_0p001_head_0p0003_ft_5e-05,0.7846153846153846,,0.7878787878787877,,0.7785902503293807,,0.7765217391304348,,1.0,,0.5909090909090909,,0.7727272727272727,
E10_lr_bin_0p001_head_0p0005_ft_0p0001,0.7846153846153846,,0.787878787878788,,0.7818459191456903,,0.7798274951593029,,1.0,,0.7272727272727273,,0.6363636363636364,
