exp_id,seed,reserved_per_class,hidden_dims,dropout,bin_lr,head_lr,ft_lr,weight_decay,scaler_strategy,use_transfer,transfer_mode,phase1_freeze,phase2_finetune,use_class_weights,multiclass_weights,save_model_pt,test_loss,test_acc,test_balanced_acc,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_0,test_recall_1,test_recall_2,test_precision_0,test_precision_1,test_precision_2,bin_val_loss,bin_val_acc,bin_val_f1,bin_val_balanced_acc
E10_lr_bin_0p0005_head_0p0003_ft_0p0003,42,72,"(128, 64)",0.3,0.0005,0.0003,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.613411766749162,0.8153846153846154,0.8181818181818182,0.8133633633633633,0.8115176715176716,0.8335470085470086,1.0,0.8181818181818182,0.6363636363636364,0.875,0.6923076923076923,0.9333333333333333,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p0003_ft_0p0005,42,72,"(128, 64)",0.3,0.0005,0.0003,0.0005,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5986210914758535,0.8615384615384616,0.8636363636363636,0.8573764399851357,0.8562078723951635,0.863562091503268,1.0,0.6818181818181818,0.9090909090909091,0.875,0.8823529411764706,0.8333333333333334,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p0005_ft_5e-05,42,72,"(128, 64)",0.3,0.0005,0.0005,5e-05,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6087403751336611,0.676923076923077,0.6818181818181818,0.6283644792119368,0.6236726506869924,0.7961711711711712,1.0,0.8636363636363636,0.18181818181818182,0.875,0.5135135135135135,1.0,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p0005_ft_0p0001,42,72,"(128, 64)",0.3,0.0005,0.0005,0.0001,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6040955140040472,0.6923076923076923,0.6969696969696969,0.652958705832269,0.6486452500245604,0.8009259259259259,1.0,0.8636363636363636,0.22727272727272727,0.875,0.5277777777777778,1.0,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p0005_ft_0p0003,42,72,"(128, 64)",0.3,0.0005,0.0005,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5876999818361722,0.8461538461538461,0.8484848484848486,0.8454849498327759,0.8441334362404597,0.8553921568627452,1.0,0.8181818181818182,0.7272727272727273,0.875,0.75,0.9411764705882353,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p0005_ft_0p0005,42,72,"(128, 64)",0.3,0.0005,0.0005,0.0005,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5753151105000422,0.8769230769230769,0.8787878787878788,0.8755260243632336,0.8746366811483091,0.8765873015873016,1.0,0.7727272727272727,0.8636363636363636,0.875,0.85,0.9047619047619048,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p001_ft_5e-05,42,72,"(128, 64)",0.3,0.0005,0.001,5e-05,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5951603802350851,0.676923076923077,0.6818181818181818,0.6283644792119368,0.6236726506869924,0.7961711711711712,1.0,0.8636363636363636,0.18181818181818182,0.875,0.5135135135135135,1.0,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p001_ft_0p0001,42,72,"(128, 64)",0.3,0.0005,0.001,0.0001,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5910136140309847,0.6923076923076923,0.6969696969696969,0.652958705832269,0.6486452500245604,0.8009259259259259,1.0,0.8636363636363636,0.22727272727272727,0.875,0.5277777777777778,1.0,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p001_ft_0p0003,42,72,"(128, 64)",0.3,0.0005,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5743842262488145,0.7846153846153846,0.787878787878788,0.7769230769230768,0.774516765285996,0.8361111111111111,1.0,0.8636363636363636,0.5,0.875,0.6333333333333333,1.0,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p001_ft_0p0005,42,72,"(128, 64)",0.3,0.0005,0.001,0.0005,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5594255727071028,0.8461538461538461,0.8484848484848485,0.8451096329145109,0.8437523452157598,0.847488038277512,1.0,0.7727272727272727,0.7727272727272727,0.875,0.7727272727272727,0.8947368421052632,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
