,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
10,extra_trees,spearman_corr,0.6233 ± 0.0113,0.6321 ± 0.0257,0.8634 ± 0.0098,0.7566 ± 0.1625,0.6566 ± 0.0141,0.8872 ± 0.0149,0.8287 ± 0.0565,0.8634 ± 0.0098,0.8194 ± 0.0123,0.9377 ± 0.0084,0.8569 ± 0.0055,0.8063 ± 0.1049,0.6488 ± 0.0063,0.8914 ± 0.0080,0.8413 ± 0.0331,0.8569 ± 0.0055,0.8132 ± 0.0059,0.9381 ± 0.0040
11,extra_trees,mutual_info,0.6385 ± 0.0200,0.6489 ± 0.0193,0.8630 ± 0.0090,0.8181 ± 0.0770,0.6639 ± 0.0117,0.8862 ± 0.0104,0.8500 ± 0.0277,0.8630 ± 0.0090,0.8243 ± 0.0099,0.9375 ± 0.0074,0.8582 ± 0.0044,0.7533 ± 0.0859,0.6563 ± 0.0105,0.8923 ± 0.0047,0.8262 ± 0.0297,0.8582 ± 0.0044,0.8189 ± 0.0079,0.9389 ± 0.0023
12,extra_trees,spearman_sulov,0.6325 ± 0.0158,0.6319 ± 0.0204,0.8623 ± 0.0092,0.7898 ± 0.1498,0.6558 ± 0.0113,0.8827 ± 0.0115,0.8395 ± 0.0469,0.8623 ± 0.0092,0.8189 ± 0.0101,0.9362 ± 0.0076,0.8594 ± 0.0058,0.8208 ± 0.0748,0.6540 ± 0.0094,0.8927 ± 0.0053,0.8481 ± 0.0233,0.8594 ± 0.0058,0.8178 ± 0.0085,0.9390 ± 0.0033
13,extra_trees,chi2,0.6476 ± 0.0183,0.6508 ± 0.0128,0.8656 ± 0.0095,0.8343 ± 0.0761,0.6658 ± 0.0078,0.8872 ± 0.0111,0.8571 ± 0.0279,0.8656 ± 0.0095,0.8267 ± 0.0079,0.9373 ± 0.0080,0.8599 ± 0.0056,0.8122 ± 0.0561,0.6613 ± 0.0107,0.8889 ± 0.0068,0.8461 ± 0.0184,0.8599 ± 0.0056,0.8223 ± 0.0083,0.9373 ± 0.0036
14,extra_trees,chi2_mi_union_topk,0.6647 ± 0.0157,0.6638 ± 0.0193,0.8601 ± 0.0102,0.7704 ± 0.0610,0.6709 ± 0.0112,0.8811 ± 0.0113,0.8356 ± 0.0205,0.8601 ± 0.0102,0.8275 ± 0.0088,0.9344 ± 0.0075,0.8597 ± 0.0060,0.7596 ± 0.0229,0.6703 ± 0.0103,0.8856 ± 0.0110,0.8321 ± 0.0101,0.8597 ± 0.0060,0.8282 ± 0.0080,0.9356 ± 0.0055
15,xgboost,spearman_corr,0.6493 ± 0.0222,0.6694 ± 0.0215,0.8538 ± 0.0132,0.7306 ± 0.0536,0.6721 ± 0.0160,0.8885 ± 0.0122,0.8234 ± 0.0214,0.8538 ± 0.0132,0.8268 ± 0.0127,0.9366 ± 0.0061,0.8414 ± 0.0104,0.6827 ± 0.0458,0.6557 ± 0.0160,0.8786 ± 0.0105,0.8029 ± 0.0179,0.8414 ± 0.0104,0.8147 ± 0.0112,0.9299 ± 0.0049
16,xgboost,mutual_info,0.6484 ± 0.0164,0.6710 ± 0.0309,0.8531 ± 0.0163,0.7279 ± 0.0576,0.6732 ± 0.0232,0.8881 ± 0.0094,0.8225 ± 0.0255,0.8531 ± 0.0163,0.8268 ± 0.0174,0.9369 ± 0.0059,0.8407 ± 0.0076,0.6754 ± 0.0278,0.6552 ± 0.0117,0.8796 ± 0.0106,0.8015 ± 0.0110,0.8407 ± 0.0076,0.8147 ± 0.0078,0.9306 ± 0.0056
17,xgboost,spearman_sulov,0.6608 ± 0.0235,0.6676 ± 0.0262,0.8498 ± 0.0186,0.7311 ± 0.0652,0.6699 ± 0.0202,0.8893 ± 0.0106,0.8210 ± 0.0275,0.8498 ± 0.0186,0.8233 ± 0.0175,0.9371 ± 0.0056,0.8432 ± 0.0093,0.6944 ± 0.0395,0.6637 ± 0.0170,0.8800 ± 0.0083,0.8087 ± 0.0158,0.8432 ± 0.0093,0.8192 ± 0.0109,0.9307 ± 0.0046
18,xgboost,chi2,0.6554 ± 0.0098,0.6632 ± 0.0229,0.8465 ± 0.0159,0.7100 ± 0.0525,0.6666 ± 0.0182,0.8724 ± 0.0095,0.8146 ± 0.0222,0.8465 ± 0.0159,0.8212 ± 0.0145,0.9279 ± 0.0065,0.8415 ± 0.0069,0.6954 ± 0.0202,0.6595 ± 0.0076,0.8767 ± 0.0118,0.8064 ± 0.0085,0.8415 ± 0.0069,0.8159 ± 0.0066,0.9288 ± 0.0061
19,xgboost,chi2_mi_union_topk,0.6598 ± 0.0174,0.6635 ± 0.0291,0.8374 ± 0.0158,0.6837 ± 0.0433,0.6648 ± 0.0236,0.8683 ± 0.0165,0.8074 ± 0.0185,0.8374 ± 0.0158,0.8181 ± 0.0152,0.9245 ± 0.0109,0.8338 ± 0.0085,0.6847 ± 0.0197,0.6611 ± 0.0142,0.8667 ± 0.0097,0.8025 ± 0.0117,0.8338 ± 0.0085,0.8132 ± 0.0103,0.9229 ± 0.0058
20,adaboost,spearman_corr,0.6489 ± 0.0148,0.6562 ± 0.0369,0.8198 ± 0.0263,0.6691 ± 0.0476,0.6574 ± 0.0331,0.8547 ± 0.0159,0.8007 ± 0.0227,0.8198 ± 0.0263,0.8072 ± 0.0221,0.9232 ± 0.0061,0.8121 ± 0.0086,0.6526 ± 0.0171,0.6498 ± 0.0132,0.8412 ± 0.0099,0.7921 ± 0.0088,0.8121 ± 0.0086,0.8011 ± 0.0085,0.9155 ± 0.0039
