,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
35,knn,spearman_corr,SMOTE,0.6019 ± 0.0142,0.6123 ± 0.0290,0.7015 ± 0.0299,0.6559 ± 0.0240,0.6403 ± 0.0355,0.8302 ± 0.0205,0.8077 ± 0.0238,0.7015 ± 0.0299,0.7241 ± 0.0267,0.8853 ± 0.0150,0.6873 ± 0.0149,0.6526 ± 0.0110,0.6348 ± 0.0168,0.8296 ± 0.0069,0.8072 ± 0.0104,0.6873 ± 0.0149,0.7127 ± 0.0144,0.8816 ± 0.0062
36,knn,mutual_info,SMOTE,0.5954 ± 0.0131,0.6093 ± 0.0283,0.6985 ± 0.0271,0.6526 ± 0.0190,0.6364 ± 0.0323,0.8294 ± 0.0207,0.8050 ± 0.0186,0.6985 ± 0.0271,0.7218 ± 0.0257,0.8822 ± 0.0170,0.6769 ± 0.0128,0.6524 ± 0.0077,0.6321 ± 0.0148,0.8245 ± 0.0084,0.8070 ± 0.0066,0.6769 ± 0.0128,0.7031 ± 0.0141,0.8766 ± 0.0081
37,knn,spearman_sulov,SMOTE,0.5952 ± 0.0108,0.6007 ± 0.0381,0.6872 ± 0.0384,0.6521 ± 0.0238,0.6296 ± 0.0422,0.8292 ± 0.0257,0.8055 ± 0.0210,0.6872 ± 0.0384,0.7114 ± 0.0353,0.8820 ± 0.0191,0.6767 ± 0.0117,0.6561 ± 0.0075,0.6352 ± 0.0102,0.8242 ± 0.0054,0.8113 ± 0.0086,0.6767 ± 0.0117,0.7015 ± 0.0139,0.8762 ± 0.0073
38,knn,chi2,SMOTE,0.5907 ± 0.0111,0.6001 ± 0.0319,0.6894 ± 0.0298,0.6503 ± 0.0200,0.6279 ± 0.0342,0.8264 ± 0.0181,0.8053 ± 0.0195,0.6894 ± 0.0298,0.7133 ± 0.0299,0.8801 ± 0.0147,0.6708 ± 0.0122,0.6523 ± 0.0081,0.6300 ± 0.0146,0.8204 ± 0.0075,0.8074 ± 0.0070,0.6708 ± 0.0122,0.6968 ± 0.0117,0.8714 ± 0.0071
39,knn,chi2_mi_union_topk,SMOTE,0.6300 ± 0.0147,0.6218 ± 0.0268,0.7245 ± 0.0253,0.6504 ± 0.0189,0.6368 ± 0.0304,0.8382 ± 0.0182,0.8046 ± 0.0170,0.7245 ± 0.0253,0.7460 ± 0.0242,0.8953 ± 0.0164,0.7203 ± 0.0100,0.6606 ± 0.0131,0.6553 ± 0.0203,0.8320 ± 0.0114,0.8112 ± 0.0099,0.7203 ± 0.0100,0.7444 ± 0.0090,0.8862 ± 0.0085
40,gaussian_nb,spearman_corr,SMOTE,0.6206 ± 0.0151,0.6342 ± 0.0326,0.7326 ± 0.0332,0.6580 ± 0.0259,0.6496 ± 0.0369,0.8417 ± 0.0222,0.8117 ± 0.0200,0.7326 ± 0.0332,0.7582 ± 0.0268,0.9059 ± 0.0134,0.7145 ± 0.0204,0.6455 ± 0.0122,0.6380 ± 0.0185,0.8340 ± 0.0107,0.7993 ± 0.0098,0.7145 ± 0.0204,0.7431 ± 0.0158,0.8965 ± 0.0056
41,gaussian_nb,mutual_info,SMOTE,0.6308 ± 0.0206,0.6377 ± 0.0327,0.7440 ± 0.0373,0.6562 ± 0.0293,0.6506 ± 0.0383,0.8468 ± 0.0211,0.8097 ± 0.0234,0.7440 ± 0.0373,0.7660 ± 0.0281,0.9073 ± 0.0130,0.7335 ± 0.0222,0.6463 ± 0.0168,0.6422 ± 0.0242,0.8356 ± 0.0090,0.7987 ± 0.0129,0.7335 ± 0.0222,0.7580 ± 0.0175,0.8973 ± 0.0051
42,gaussian_nb,spearman_sulov,SMOTE,0.6224 ± 0.0199,0.6381 ± 0.0329,0.7341 ± 0.0343,0.6640 ± 0.0255,0.6565 ± 0.0357,0.8447 ± 0.0234,0.8178 ± 0.0200,0.7341 ± 0.0343,0.7601 ± 0.0285,0.9083 ± 0.0139,0.7131 ± 0.0222,0.6498 ± 0.0164,0.6431 ± 0.0251,0.8391 ± 0.0119,0.8035 ± 0.0135,0.7131 ± 0.0222,0.7424 ± 0.0184,0.8995 ± 0.0067
43,gaussian_nb,chi2,SMOTE,0.6238 ± 0.0176,0.6363 ± 0.0384,0.7429 ± 0.0406,0.6554 ± 0.0327,0.6481 ± 0.0436,0.8426 ± 0.0238,0.8089 ± 0.0239,0.7429 ± 0.0406,0.7649 ± 0.0317,0.9052 ± 0.0145,0.7245 ± 0.0232,0.6432 ± 0.0139,0.6368 ± 0.0199,0.8334 ± 0.0104,0.7967 ± 0.0109,0.7245 ± 0.0232,0.7503 ± 0.0180,0.8958 ± 0.0055
44,gaussian_nb,chi2_mi_union_topk,SMOTE,0.6532 ± 0.0137,0.6579 ± 0.0292,0.7619 ± 0.0318,0.6733 ± 0.0218,0.6691 ± 0.0330,0.8670 ± 0.0185,0.8268 ± 0.0160,0.7619 ± 0.0318,0.7858 ± 0.0250,0.9251 ± 0.0112,0.7550 ± 0.0111,0.6681 ± 0.0115,0.6647 ± 0.0177,0.8621 ± 0.0079,0.8233 ± 0.0083,0.7550 ± 0.0111,0.7817 ± 0.0091,0.9184 ± 0.0042
