,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
10,extra_trees,spearman_corr,SMOTE,0.6417 ± 0.0096,0.6439 ± 0.0217,0.8637 ± 0.0084,0.7330 ± 0.0923,0.6619 ± 0.0120,0.8968 ± 0.0127,0.8241 ± 0.0320,0.8637 ± 0.0084,0.8245 ± 0.0095,0.9425 ± 0.0079,0.8597 ± 0.0039,0.7828 ± 0.0506,0.6582 ± 0.0058,0.8941 ± 0.0063,0.8370 ± 0.0169,0.8597 ± 0.0039,0.8210 ± 0.0048,0.9401 ± 0.0029
11,extra_trees,mutual_info,SMOTE,0.6370 ± 0.0155,0.6404 ± 0.0220,0.8582 ± 0.0099,0.7309 ± 0.0946,0.6578 ± 0.0132,0.8895 ± 0.0091,0.8206 ± 0.0324,0.8582 ± 0.0099,0.8199 ± 0.0101,0.9393 ± 0.0072,0.8568 ± 0.0045,0.7362 ± 0.0356,0.6549 ± 0.0090,0.8899 ± 0.0056,0.8208 ± 0.0134,0.8568 ± 0.0045,0.8181 ± 0.0068,0.9381 ± 0.0035
12,extra_trees,spearman_sulov,SMOTE,0.6414 ± 0.0138,0.6357 ± 0.0182,0.8652 ± 0.0069,0.7782 ± 0.1256,0.6588 ± 0.0084,0.8906 ± 0.0117,0.8380 ± 0.0419,0.8652 ± 0.0069,0.8223 ± 0.0068,0.9400 ± 0.0075,0.8594 ± 0.0051,0.7972 ± 0.0620,0.6580 ± 0.0083,0.8928 ± 0.0082,0.8410 ± 0.0216,0.8594 ± 0.0051,0.8204 ± 0.0067,0.9395 ± 0.0043
13,extra_trees,chi2,SMOTE,0.6553 ± 0.0147,0.6464 ± 0.0169,0.8619 ± 0.0093,0.7550 ± 0.0727,0.6622 ± 0.0101,0.8909 ± 0.0124,0.8305 ± 0.0255,0.8619 ± 0.0093,0.8240 ± 0.0084,0.9397 ± 0.0080,0.8594 ± 0.0052,0.7770 ± 0.0393,0.6649 ± 0.0092,0.8934 ± 0.0064,0.8357 ± 0.0136,0.8594 ± 0.0052,0.8247 ± 0.0069,0.9396 ± 0.0036
14,extra_trees,chi2_mi_union_topk,SMOTE,0.6627 ± 0.0129,0.6530 ± 0.0190,0.8571 ± 0.0088,0.7273 ± 0.0623,0.6637 ± 0.0128,0.8924 ± 0.0114,0.8215 ± 0.0209,0.8571 ± 0.0088,0.8239 ± 0.0096,0.9400 ± 0.0076,0.8564 ± 0.0083,0.7444 ± 0.0402,0.6681 ± 0.0098,0.8915 ± 0.0094,0.8267 ± 0.0150,0.8564 ± 0.0083,0.8262 ± 0.0087,0.9385 ± 0.0052
15,xgboost,spearman_corr,SMOTE,0.6534 ± 0.0187,0.6567 ± 0.0230,0.8505 ± 0.0106,0.7160 ± 0.0532,0.6638 ± 0.0154,0.8901 ± 0.0103,0.8153 ± 0.0216,0.8505 ± 0.0106,0.8206 ± 0.0116,0.9389 ± 0.0056,0.8454 ± 0.0083,0.6939 ± 0.0367,0.6595 ± 0.0131,0.8825 ± 0.0089,0.8077 ± 0.0147,0.8454 ± 0.0083,0.8179 ± 0.0092,0.9328 ± 0.0045
16,xgboost,mutual_info,SMOTE,0.6521 ± 0.0175,0.6740 ± 0.0239,0.8524 ± 0.0102,0.7302 ± 0.0303,0.6752 ± 0.0170,0.8854 ± 0.0128,0.8221 ± 0.0151,0.8524 ± 0.0102,0.8266 ± 0.0123,0.9363 ± 0.0053,0.8429 ± 0.0074,0.6849 ± 0.0376,0.6580 ± 0.0122,0.8808 ± 0.0084,0.8050 ± 0.0141,0.8429 ± 0.0074,0.8167 ± 0.0081,0.9318 ± 0.0049
17,xgboost,spearman_sulov,SMOTE,0.6520 ± 0.0171,0.6555 ± 0.0315,0.8498 ± 0.0158,0.7103 ± 0.0665,0.6632 ± 0.0224,0.8895 ± 0.0108,0.8141 ± 0.0267,0.8498 ± 0.0158,0.8203 ± 0.0155,0.9385 ± 0.0063,0.8450 ± 0.0063,0.6936 ± 0.0378,0.6584 ± 0.0117,0.8835 ± 0.0094,0.8069 ± 0.0140,0.8450 ± 0.0063,0.8171 ± 0.0076,0.9331 ± 0.0055
18,xgboost,chi2,SMOTE,0.6599 ± 0.0124,0.6607 ± 0.0332,0.8495 ± 0.0178,0.7028 ± 0.0607,0.6663 ± 0.0240,0.8822 ± 0.0101,0.8130 ± 0.0268,0.8495 ± 0.0178,0.8222 ± 0.0184,0.9345 ± 0.0060,0.8404 ± 0.0072,0.6918 ± 0.0215,0.6623 ± 0.0090,0.8828 ± 0.0058,0.8067 ± 0.0085,0.8404 ± 0.0072,0.8171 ± 0.0067,0.9333 ± 0.0036
19,xgboost,chi2_mi_union_topk,SMOTE,0.6634 ± 0.0163,0.6821 ± 0.0252,0.8505 ± 0.0125,0.7240 ± 0.0385,0.6805 ± 0.0196,0.8799 ± 0.0099,0.8226 ± 0.0167,0.8505 ± 0.0125,0.8290 ± 0.0130,0.9319 ± 0.0062,0.8365 ± 0.0067,0.6861 ± 0.0238,0.6641 ± 0.0125,0.8646 ± 0.0099,0.8058 ± 0.0090,0.8365 ± 0.0067,0.8167 ± 0.0068,0.9225 ± 0.0047
20,adaboost,spearman_corr,SMOTE,0.6525 ± 0.0116,0.6457 ± 0.0233,0.7989 ± 0.0312,0.6517 ± 0.0318,0.6467 ± 0.0213,0.8528 ± 0.0145,0.7937 ± 0.0178,0.7989 ± 0.0312,0.7944 ± 0.0220,0.9224 ± 0.0075,0.7945 ± 0.0093,0.6524 ± 0.0117,0.6533 ± 0.0117,0.8381 ± 0.0073,0.7956 ± 0.0081,0.7945 ± 0.0093,0.7947 ± 0.0080,0.9143 ± 0.0038
21,adaboost,mutual_info,SMOTE,0.6511 ± 0.0216,0.6466 ± 0.0215,0.8011 ± 0.0181,0.6482 ± 0.0229,0.6484 ± 0.0205,0.8461 ± 0.0116,0.7963 ± 0.0118,0.8011 ± 0.0181,0.7976 ± 0.0124,0.9199 ± 0.0034,0.7980 ± 0.0132,0.6513 ± 0.0214,0.6516 ± 0.0220,0.8361 ± 0.0079,0.7941 ± 0.0127,0.7980 ± 0.0132,0.7958 ± 0.0125,0.9135 ± 0.0040
22,adaboost,spearman_sulov,SMOTE,0.6544 ± 0.0159,0.6521 ± 0.0314,0.8037 ± 0.0197,0.6540 ± 0.0330,0.6528 ± 0.0306,0.8480 ± 0.0143,0.7982 ± 0.0184,0.8037 ± 0.0197,0.7999 ± 0.0178,0.9206 ± 0.0060,0.7965 ± 0.0094,0.6542 ± 0.0156,0.6553 ± 0.0165,0.8379 ± 0.0081,0.7964 ± 0.0104,0.7965 ± 0.0094,0.7963 ± 0.0094,0.9135 ± 0.0037
23,adaboost,chi2,SMOTE,0.6490 ± 0.0177,0.6458 ± 0.0200,0.8029 ± 0.0215,0.6486 ± 0.0223,0.6464 ± 0.0193,0.8485 ± 0.0133,0.7924 ± 0.0141,0.8029 ± 0.0215,0.7966 ± 0.0168,0.9215 ± 0.0067,0.7964 ± 0.0090,0.6491 ± 0.0184,0.6497 ± 0.0170,0.8391 ± 0.0087,0.7939 ± 0.0100,0.7964 ± 0.0090,0.7949 ± 0.0087,0.9157 ± 0.0049
